mass_A
t	x	y
0.000000000E0	-2.234207688E-1	1.595862634E-1
1.666666667E-2	-3.670484058E-1	1.755448897E-1
3.333333333E-2	-4.628001639E-1	2.393793951E-1
5.000000000E-2	-6.223864273E-1	3.830070322E-1
6.666666667E-2	-7.340968117E-1	4.308829112E-1
8.333333333E-2	-8.936830751E-1	5.585519219E-1
1.000000000E-1	-1.021352086E0	6.223864273E-1
1.166666667E-1	-1.133062470E0	6.702623063E-1
1.333333333E-1	-1.292648734E0	7.340968117E-1
1.500000000E-1	-1.436276371E0	7.979313170E-1
1.666666667E-1	-1.547986755E0	8.138899434E-1
1.833333333E-1	-1.691614392E0	8.777244487E-1
2.000000000E-1	-1.867159282E0	9.256003278E-1
2.166666667E-1	-1.978869666E0	9.096417014E-1
2.333333333E-1	-2.122497303E0	9.415589541E-1
2.500000000E-1	-2.266124940E0	9.894348331E-1
2.666666667E-1	-2.393793951E0	1.005393459E0
2.833333333E-1	-2.521462962E0	1.021352086E0
3.000000000E-1	-2.649131973E0	1.037310712E0
3.166666667E-1	-2.792759610E0	1.053269338E0
3.333333333E-1	-2.936387247E0	1.069227965E0
3.500000000E-1	-3.111932136E0	1.053269338E0
3.666666667E-1	-3.255559773E0	1.053269338E0
3.833333333E-1	-3.431104663E0	1.133062470E0
4.000000000E-1	-3.542815048E0	1.133062470E0
4.166666667E-1	-3.654525432E0	1.133062470E0
4.333333333E-1	-3.830070322E0	1.117103844E0
4.500000000E-1	-4.005615211E0	1.117103844E0
4.666666667E-1	-4.149242849E0	1.133062470E0
4.833333333E-1	-4.292870486E0	1.101145217E0
5.000000000E-1	-4.436498123E0	1.117103844E0
5.166666667E-1	-4.596084386E0	1.101145217E0
5.333333333E-1	-4.723753397E0	1.085186591E0
5.500000000E-1	-4.883339660E0	1.069227965E0
5.666666667E-1	-5.058884550E0	1.069227965E0
5.833333333E-1	-5.202512187E0	1.069227965E0
6.000000000E-1	-5.346139824E0	1.037310712E0
6.166666667E-1	-5.489767461E0	1.037310712E0
6.333333333E-1	-5.681270977E0	1.005393459E0
6.500000000E-1	-5.856815867E0	9.575175804E-1
6.666666667E-1	-5.952567625E0	9.575175804E-1
6.833333333E-1	-6.160029767E0	9.096417014E-1
7.000000000E-1	-6.383450536E0	8.777244487E-1
7.166666667E-1	-6.543036800E0	8.777244487E-1
7.333333333E-1	-6.782416195E0	7.979313170E-1
7.500000000E-1	-6.942002458E0	7.979313170E-1
7.666666667E-1	-7.181381853E0	7.500554380E-1
7.833333333E-1	-7.325009490E0	7.021795590E-1
8.000000000E-1	-7.644182017E0	6.543036800E-1
