mass_A
t	y	v	v_{x}	v_{y}	a_{y}	a_{x}	a
0.000000000E0	1.595862634E-1						
1.666666667E-2	1.755448897E-1	7.569841135E0	-7.181381853E0	2.393793951E0			
3.333333333E-2	2.393793951E-1	9.869865306E0	-7.660140643E0	6.223864273E0	7.386564192E1	0.000000000E0	7.386564192E1
5.000000000E-2	3.830070322E-1	9.962325080E0	-8.138899434E0	5.745105483E0	1.641458709E1	-4.103646773E1	4.419762837E1
6.666666667E-2	4.308829112E-1	9.694126648E0	-8.138899434E0	5.266346692E0	-4.103646773E1	8.207293547E0	4.184914995E1
8.333333333E-2	5.585519219E-1	1.035713620E1	-8.617658224E0	5.745105483E0	-3.282917419E1	1.641458709E1	3.670413256E1
1.000000000E-1	6.223864273E-1	7.924868094E0	-7.181381853E0	3.351311532E0	-7.386564192E1	8.207293547E0	7.432020401E1
8.000000000E-1	6.543036800E-1						
1.166666667E-1	6.702623063E-1	8.801873265E0	-8.138899434E0	3.351311532E0	8.207293547E0	-4.103646773E1	4.184914995E1
7.833333333E-1	7.021795590E-1	1.417805176E1	-1.388400492E1	-2.872552741E0			
1.333333333E-1	7.340968117E-1	9.869865306E0	-9.096417014E0	3.830070322E0	-3.282917419E1	8.207293547E0	3.383953819E1
7.666666667E-1	7.500554380E-1	1.184383837E1	-1.149021097E1	-2.872552741E0	-4.924376128E1	-1.149021097E2	1.250097709E2
1.500000000E-1	7.979313170E-1	8.025459747E0	-7.660140643E0	2.393793951E0	-2.462188064E1	3.282917419E1	4.103646773E1
7.333333333E-1	7.979313170E-1	1.220600207E1	-1.196896976E1	-2.393793951E0	-8.207293547E0	-4.103646773E1	4.184914995E1
7.500000000E-1	7.979313170E-1	1.205483832E1	-1.196896976E1	-1.436276371E0	8.207293547E0	5.745105483E1	5.803432922E1
1.666666667E-1	8.138899434E-1	8.025459747E0	-7.660140643E0	2.393793951E0	8.207293547E0	-4.924376128E1	4.992301766E1
